"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" онняотсоп :еткелпмок мещажелдан меовс в оляотсос";"в";"состояло в своем надлежащем комплекте: постоянно ";"в";" ";"бегах считалось тысяч до двадцати и";"Н. И. Костомаров. Русская история в жизнеописаниях ее главнейших деятелей. Выпуск седьмой: XVIII столетие (1862-1875)";"Н. И. Костомаров";"1817";"Русская история в жизнеописаниях ее главнейших деятелей. Выпуск седьмой: XVIII столетие";"1862-1875";"учебно-научная | нехудожественная";"очерк | цикл";"";"";"";"книга";"омонимия не снята";"5362";"112685";"н-возраст";"н-уровень";"очень большая";"Расположенное на вечных квартирах сухопутное войско не состояло в своем надлежащем комплекте: постоянно в бегах считалось тысяч до двадцати и более. ";"65126:2772:13"
" ьтам яовТ";"в";"Твоя мать ";"в";" ";"бегах; она принуждена была удалиться из";"Н. И. Костомаров. Русская история в жизнеописаниях ее главнейших деятелей. Выпуск седьмой: XVIII столетие (1862-1875)";"Н. И. Костомаров";"1817";"Русская история в жизнеописаниях ее главнейших деятелей. Выпуск седьмой: XVIII столетие";"1862-1875";"учебно-научная | нехудожественная";"очерк | цикл";"";"";"";"книга";"омонимия не снята";"5362";"112685";"н-возраст";"н-уровень";"очень большая";"Твоя мать в бегах; она принуждена была удалиться из дома и отправилась в Париж, ― говорила государыня. ";"65126:4358:2"
" хишвыб ьтавадорп ьсоляловзоп хи мацьледалв от";"в";"то владельцам их позволялось продавать бывших ";"в";" ";"бегах тем помещикам, за которыми числились";"Н. И. Костомаров. Русская история в жизнеописаниях ее главнейших деятелей. Выпуск шестой: XVIII столетие (1862-1875)";"Н. И. Костомаров";"1817";"Русская история в жизнеописаниях ее главнейших деятелей. Выпуск шестой: XVIII столетие";"1862-1875";"учебно-научная | нехудожественная";"очерк | цикл";"";"";"";"книга";"омонимия не снята";"5106";"116036";"н-возраст";"н-уровень";"очень большая";"Если у владельцев были собственные земли в Ингерманландии, то беглые приписывались на эти земли, а если не было, то владельцам их позволялось продавать бывших в бегах тем помещикам, за которыми числились земли в Ингерманландии, или получать от казны за мужчину по 10 рублей, а за женщину по 5 рублей. ";"65125:3201:24"
" анжлод акнеж« ежад огороток то ,ацто";"в";"отца, от которого даже «женка должна ";"в";" ";"бегах состоять вот уж пятый год…». ";"Н. Н. Златовратский. Крестьяне-присяжные (1874)";"Н. Н. Златовратский";"1845";"Крестьяне-присяжные";"1874";"художественная";"повесть";"";"Златовратский Н. Н. Деревенский король Лир: Повести, рассказы, очерки";"1988";"книга";"омонимия не снята";"4184";"32815";"н-возраст";"н-уровень";"большая";"Пеньковцы только в конце судебного следствия догадались, что подсудимый мальчик был сын «беглой бабочки», а именно при показании одного из свидетелей, сотского, поймавшего его на месте преступления, о «буйстве» и «необстоятельности» его отца, от которого даже «женка должна в бегах состоять вот уж пятый год…». ";"70027:2319:38"
" актаМ";"в";"Матка ";"в";" ";"бегах. ";"Н. Н. Златовратский. Крестьяне-присяжные (1874)";"Н. Н. Златовратский";"1845";"Крестьяне-присяжные";"1874";"художественная";"повесть";"";"Златовратский Н. Н. Деревенский король Лир: Повести, рассказы, очерки";"1988";"книга";"омонимия не снята";"4184";"32815";"н-возраст";"н-уровень";"большая";"Матка в бегах. ";"70027:2357:1"
" уроп юс оп еовд а ,ясланзос";"в";"сознался, а двое по сю пору ";"в";" ";"бегах), несомненно участвовал в поджоге и";"Ф. М. Достоевский. Бесы (1871-1872)";"Ф. М. Достоевский";"1821";"Бесы";"1871-1872";"художественная";"роман";"";"Ф. Достоевский. Полное собрание сочинений в 30 томах";"1972";"книга";"омонимия не снята";"15937";"208107";"н-возраст";"н-уровень";"очень большая";"Кроме тех трех негодяев (из коих один пойман и сознался, а двое по сю пору в бегах), несомненно участвовал в поджоге и Федька Каторжный. ";"63888:11066:15"
" вавыбоп оньлетиравдерп он ,ещилепеп еонжротак ;еоратс";"в";"старое; каторжное пепелище, но предварительно побывав ";"в";" ";"бегах. ";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Настоящий бродяга настолько практик, чтобы но быть трусом и побежденным, и настолько свободен он и не побежден, что готов попасть опять на старое; каторжное пепелище, но предварительно побывав в бегах. ";"65590:1892:28"
"";"В";"";"В";" ";"бегах ";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"В бегах ";"65590:1908:0"
" оге еинелпутсерп еошьлоб еомас ;тюавызакан еебалс";"в";"слабее наказывают; самое большое преступление его ";"в";" ";"бегах ― мелкое воровство, пьянство. ";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Беглого из пересыльной тюрьмы скоро ловят, его слабее наказывают; самое большое преступление его в бегах ― мелкое воровство, пьянство. ";"65590:2224:13"
" уме ьтакси огеч и итди адук";"в";"куда идти и чего искать ему ";"в";" ";"бегах. ";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Поздно вечером он стучался в острожные ворота и был впущен на общий смех арестантам и для показания на допросе о том, что двое товарищей его бежали, что сам он напился вместе с ними, но покрепче их, пьяным выспался в кустах, утром опохмелился, денек погулял, а теперь вот и пришел домой, не зная, куда идти и чего искать ему в бегах. ";"65590:2227:58"
