"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" аклов то отчен олипутсорп мен в";"ан";"в нем проступило нечто от волка ";"на";" ";"бегу, на мушке, даже от Агея";"Л. М. Леонов. Вор. Части 1-2 (1927|1959)";"Л. М. Леонов";"1899";"Вор. Части 1-2";"1927|1959";"художественная";"роман";"";"Леонов Л. Вор";"1979";"книга";"омонимия не снята";"7369";"128858";"н-возраст";"н-уровень";"очень большая";"Вряд ли то был #естествен-! шли стыд# наготы, скорее профессиональная сноровка ночного преследуемого человека, причем на короткое время в нем проступило нечто от волка на бегу, на мушке, даже от Агея Столярова что-то, правда в зародыше пока. ";"76892:7072:24"
" ,ровд йиндаз ан личоксыв и йечиприк";"ан";"кирпичей и выскочил на задний двор, ";"на";" ";"бегу обматывая платком кровоточащий палец. ";"Л. М. Леонов. Вор. Части 1-2 (1927|1959)";"Л. М. Леонов";"1899";"Вор. Части 1-2";"1927|1959";"художественная";"роман";"";"Леонов Л. Вор";"1979";"книга";"омонимия не снята";"7369";"128858";"н-возраст";"н-уровень";"очень большая";"Кто-то бросился ему вдогонку, но Векшин опрокинул при выходе приготовленную стопку кирпичей и выскочил на задний двор, на бегу обматывая платком кровоточащий палец. ";"76892:7314:17"
" яадап ,юьтеморпО";"ан";"Опрометью, падая ";"на";" ";"бегу, с ходу зарываясь в цельный";"Л. М. Леонов. Вор. Часть 3 (1927|1959)";"Л. М. Леонов";"1899";"Вор. Часть 3";"1927|1959";"художественная";"роман";"";"Леонов Л. Вор";"1979";"книга";"омонимия не снята";"3265";"61927";"н-возраст";"н-уровень";"очень большая";"Опрометью, падая на бегу, с ходу зарываясь в цельный снег, она ринулась вон из лесу, ― чудом спасенный Донька в том числе. ";"76893:2945:2"
" ясьшеаведо ,ясьшеапысорп оннелдемен ― аквонатсо ,яинеживд амтир";"ан";"ритма движения, остановка ― немедленно просыпаешься, одеваешься ";"на";" ";"бегу и выскакиваешь на улицу, часто";"А. Ф. Николаев. Дневник (1958) // Комплексная антарктическая экспедиция. Отряд наземного транспорта. Дневник № 2 // Нижегородский музей. Человек. Культура. Общество. 2014. № 28., 2014";"А. Ф. Николаев";"1914";"Дневник";"1958";"бытовая | нехудожественная";"дневник, записные книжки";"частная жизнь | техника | путешествия | природа";"Комплексная антарктическая экспедиция. Отряд наземного транспорта. Дневник № 2 // Нижегородский музей. Человек. Культура. Общество. 2014. № 28.";"2014";"журнал";"омонимия не снята";"2384";"20517";"н-возраст";"н-уровень";"личная";"Беспокойство за все остается даже во сне, поэтому сон обычно бывает очень чутким ― малейшее изменение ритма движения, остановка ― немедленно просыпаешься, одеваешься на бегу и выскакиваешь на улицу, часто в пургу, туман без всякой видимости. ";"20980:76:21"
" ясьшеаведо ,ясьшеапысорп оннелдемен — аквонатсо ,яинеживд амтир";"ан";"ритма движения, остановка — немедленно просыпаешься, одеваешься ";"на";" ";"бегу и выскакиваешь на улицу, часто";"А. Ф. Николаев. Дневник (1958) // Комплексная арктическая экспедиция. Нижегородский музей. Человек. Культура. Общество. Ежеквартальный научно-популярный журнал. № 27, № 28 2014 год, № 4 2015 год, Нижний Новгород, 2014-2015";"А. Ф. Николаев";"1914";"Дневник";"1958";"бытовая | нехудожественная";"дневник, записные книжки";"путешествия | техника";"Комплексная арктическая экспедиция. Нижегородский музей. Человек. Культура. Общество. Ежеквартальный научно-популярный журнал. № 27, № 28 2014 год, № 4 2015 год, Нижний Новгород";"2014-2015";"журнал";"омонимия не снята";"2386";"20517";"н-возраст";"н-уровень";"личная";"Беспокойство за все остается даже во сне, поэтому сон обычно бывает очень чутким — малейшее изменение ритма движения, остановка — немедленно просыпаешься, одеваешься на бегу и выскакиваешь на улицу, часто в пургу, туман без всякой видимости. ";"20983:76:21"
" лировог онтраза и вокчеШ оге йишвангод";"ан";"догнавший его Шечков и азартно говорил ";"на";" ";"бегу:  ";"В. Ф. Панова. Сентиментальный роман (1958)";"В. Ф. Панова";"1905";"Сентиментальный роман";"1958";"художественная";"роман";"";"Панова В. Ф. Собр. соч.: В 5 т. Т. 2";"1987";"книга";"омонимия не снята";"5581";"57902";"н-возраст";"н-уровень";"большая";"Он бежал по схваченному ночным морозцем переулку между низенькими домиками, рядом бежал догнавший его Шечков и азартно говорил на бегу:  ";"23533:1758:18"
" яслунялго ,ецилу оп юьсыр йолежят яслитсуп";"ан";"пустился тяжелой рысью по улице, оглянулся ";"на";" ";"бегу, показал Сене фигу. ";"Василий Шукшин. Коленчатые валы (1958)";"Василий Шукшин";"1929";"Коленчатые валы";"1958";"художественная";"рассказ";"";"Василий Шукшин. Собрание сочинений (в 3 томах), т1";"2003";"книга";"омонимия не снята";"498";"2647";"н-возраст";"н-уровень";"очень большая";"Лысый пустился тяжелой рысью по улице, оглянулся на бегу, показал Сене фигу. ";"53056:450:7"
" но и ,олесев олыб умЕ";"ан";"Ему было весело, и он ";"на";" ";"бегу подпрыгивал до самого неба. ";"В. В. Бианки. Лесные были и небылицы (1923-1958)";"В. В. Бианки";"1894";"Лесные были и небылицы";"1923-1958";"художественная";"рассказ | сказка";"природа";"Бианки В. Лесные были и небылицы";"1969";"книга";"омонимия не снята";"7253";"61111";"детский";"н-уровень";"очень большая";"Ему было весело, и он на бегу подпрыгивал до самого неба. ";"72947:1891:5"
" ьсилачак икшосдоп еыннелперказен ,моксид мылгурк миксолп";"ан";"плоским круглым диском, незакрепленные подсошки качались ";"на";" ";"бегу. ";"Г. Я. Бакланов. Южнее главного удара (1957)";"Г. Я. Бакланов";"1923";"Южнее главного удара";"1957";"художественная";"повесть";"";"Григорий Яковлевич Бакланов. Пядь земли. Повести. Роман. Рассказы";"1983";"книга";"омонимия не снята";"3557";"37894";"н-возраст";"н-уровень";"большая";"В руках его ― ручной пулемет с плоским круглым диском, незакрепленные подсошки качались на бегу. ";"22212:555:12"
" еыротокеН";"ан";"Некоторые ";"на";" ";"бегу оглядывались, стреляли куда-то назад и";"Г. Я. Бакланов. Южнее главного удара (1957)";"Г. Я. Бакланов";"1923";"Южнее главного удара";"1957";"художественная";"повесть";"";"Григорий Яковлевич Бакланов. Пядь земли. Повести. Роман. Рассказы";"1983";"книга";"омонимия не снята";"3557";"37894";"н-возраст";"н-уровень";"большая";"Некоторые на бегу оглядывались, стреляли куда-то назад и вверх и бежали дальше, минуя батарею. ";"22212:2781:1"
