"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" и срук ьтинемзи ьсолширп йороток ,унитнагирб";"ясьтасапс";"бригантину, которой пришлось изменить курс и ";"спасаться";" ";"бегством. ";"Роберт Штильмарк. Наследник из Калькутты (1950-1951)";"Роберт Штильмарк";"1909";"Наследник из Калькутты";"1950-1951";"художественная";"роман";"";"Роберт Штильмарк. Наследник из Калькутты";"1958";"книга";"омонимия не снята";"19232";"220934";"подростковый";"н-уровень";"очень большая";"Наконец уцелевшему корвету противника удалось все же отрезать от каравана одну английскую бригантину, которой пришлось изменить курс и спасаться бегством. ";"128092:235:18"
" ястедирп илсе ,йачулс йинйарк йымас аН";"ясьтасапс";"На самый крайний случай, если придется ";"спасаться";" ";"бегством, ты найдешь приют и помощь";"Роберт Штильмарк. Наследник из Калькутты (1950-1951)";"Роберт Штильмарк";"1909";"Наследник из Калькутты";"1950-1951";"художественная";"роман";"";"Роберт Штильмарк. Наследник из Калькутты";"1958";"книга";"омонимия не снята";"19232";"220934";"подростковый";"н-уровень";"очень большая";"На самый крайний случай, если придется спасаться бегством, ты найдешь приют и помощь у «ирландских братьев». ";"128092:3793:6"
" ,асач ин яярет ен ,нежлод и";"ясьтасапс";"и должен, не теряя ни часа, ";"спасаться";" ";"бегством. ";"Роберт Штильмарк. Наследник из Калькутты (1950-1951)";"Роберт Штильмарк";"1909";"Наследник из Калькутты";"1950-1951";"художественная";"роман";"";"Роберт Штильмарк. Наследник из Калькутты";"1958";"книга";"омонимия не снята";"19232";"220934";"подростковый";"н-уровень";"очень большая";"Они означали, что Меджерсон раскрыт, взят под наблюдение и должен, не теряя ни часа, спасаться бегством. ";"128092:4368:14"
" еерокс онжом как еинешер олерзос урту";"ясьтасапс";"утру созрело решение как можно скорее ";"спасаться";" ";"бегством. ";"В. Г. Малахиева-Мирович. Маятник жизни моей: дневник русской женщины (1950)";"В. Г. Малахиева-Мирович";"1869";"Маятник жизни моей: дневник русской женщины";"1950";"бытовая | нехудожественная";"дневник, записные книжки | мемуары";"частная жизнь | религия | искусство и культура";"Малахиева-Мирович В. Г. Маятник жизни моей: дневник русской женщины 1930-1954. Публ. Н. Громовой. М.: Изд-во АСТ «Редакция Елены Шубиной», 2015.";"2015";"книга";"омонимия не снята";"678";"8547";"н-возраст";"н-уровень";"личная";"Ночная сырость под кровом Денисьевны вызвала еще до рассвета столько разнообразных протестов старческой плоти, что к утру созрело решение как можно скорее спасаться бегством. ";"74445:45:22"
" окдерен ,юиротиррет ими юуннечавхаз ьтялватсо оншепсоп";"ясьтасапс";"поспешно оставлять захваченную ими территорию, нередко ";"спасаться";" ";"бегством от окружения и бросать на";"И. И. Минц. Великая Отечественная война Советского Союза (1947)";"И. И. Минц";"";"Великая Отечественная война Советского Союза";"1947";"публицистика | нехудожественная";"учебное пособие";"политика и общественная жизнь | армия и вооруженные конфликты";"И. Минц. Великая Отечественная война Советского Союза. В помощь слушателю политшколы";"1947";"книга";"омонимия не снята";"1274";"17835";"н-возраст";"н-уровень";"средняя";"Этот год был переломным прежде всего потому, что в этом году Красной Армии впервые за время войны удалось осуществить большое летнее наступление против немецких войск, причём немецко-фашистские войска под ударами наших войск оказались вынужденными поспешно оставлять захваченную ими территорию, нередко спасаться бегством от окружения и бросать на поле боя большое количества техники, складов вооружения и боеприпасов, раненых солдат и офицеров». ";"77846:733:40"
" угарв ястедирп ееншепсоп мет ― ,кситан шав";"ясьтасапс";"ваш натиск, ― тем поспешнее придется врагу ";"спасаться";" ";"бегством, тем меньше времени останется ему";"Обращение поместного Собора Русской Православной Церкви к христианам всего мира (02.02.1945) // Журнал Московской Патриархии, № 02, 1945";"коллективный";"";"Обращение поместного Собора Русской Православной Церкви к христианам всего мира";"02.02.1945";"публицистика | нехудожественная";"обращение";"политика и общественная жизнь | религия";"Журнал Московской Патриархии, № 02";"1945";"журнал";"омонимия не снята";"41";"796";"н-возраст";"н-уровень";"средняя";"Братья воины, чем неожиданней будут ваши удары, чем стремительней будет ваш натиск, ― тем поспешнее придется врагу спасаться бегством, тем меньше времени останется ему делать свое черное дело. ";"79958:21:16"
" окдерен ,юиротиррет ими юуннечавхаз ьтялватсо оншепсоп";"ясьтасапс";"поспешно оставлять захваченную ими территорию, нередко ";"спасаться";" ";"бегством от окружения и бросать на";"И. В. Сталин. Доклад на торжественном заседании Московского Совета депутатов трудящихся с партийными и общественными организациями г. Москвы по случаю 26-й годовщины Великой Октябрьской Социалистической Революции (1943)";"И. В. Сталин";"1878";"Доклад на торжественном заседании Московского Совета депутатов трудящихся с партийными и общественными организациями г. Москвы по случаю 26-й годовщины Великой Октябрьской Социалистической Революции";"1943";"публицистика | нехудожественная";"доклад";"политика и общественная жизнь | армия и вооруженные конфликты";"И. Сталин о Великой Отечественной войне Советского Союза";"1946";"книга";"омонимия не снята";"235";"3666";"н-возраст";"н-уровень";"большая";"Этот год был переломном прежде всего потому, что в этом году Красной Армии впервые за время войны удалось осуществить большое летнее наступление против немецких войск, причём немецко-фашистские войска под ударами наших войск оказались вынужденными поспешно оставлять захваченную ими территорию, нередко спасаться бегством от окружения и бросать на поле боя большое количество техники, складов вооружения и боеприпасов, раненых солдат и офицеров. ";"75028:24:40"
" вецмен илялватсаз и менго мылгеб ьсилавишурбо";"ясьтасапс";"обрушивались беглым огнем и заставляли немцев ";"спасаться";" ";"бегством обратно в лес. ";"В. Е. Белолипецкий. Зимние действия пехотного полка в Августовских лесах. 1915 год (1940)";"В. Е. Белолипецкий";"1869";"Зимние действия пехотного полка в Августовских лесах. 1915 год";"1940";"учебно-научная | нехудожественная";"монография";"наука и технологии | военное дело";"Белолипецкий В. Е. Зимние действия пехотного полка в Августовских лесах. 1915 год";"1940";"книга";"омонимия не снята";"1685";"31685";"н-возраст";"н-уровень";"большая";"Шесть батарей 27-й артиллерийской бригады несколько раз позволяли немецким цепям выйти на 200-300 м от опушки леса, на которой им пришлось развертываться, затем обрушивались беглым огнем и заставляли немцев спасаться бегством обратно в лес. ";"72807:114:30"
" и ее ьтисорб илыб ынеджуныв ,юьленпарш";"ясьтасапс";"шрапнелью, вынуждены были бросить ее и ";"спасаться";" ";"бегством в лес. ";"В. Е. Белолипецкий. Зимние действия пехотного полка в Августовских лесах. 1915 год (1940)";"В. Е. Белолипецкий";"1869";"Зимние действия пехотного полка в Августовских лесах. 1915 год";"1940";"учебно-научная | нехудожественная";"монография";"наука и технологии | военное дело";"Белолипецкий В. Е. Зимние действия пехотного полка в Августовских лесах. 1915 год";"1940";"книга";"омонимия не снята";"1685";"31685";"н-возраст";"н-уровень";"большая";"Немцы старались ее увезти, но, осыпаемые ружейными пулями и шрапнелью, вынуждены были бросить ее и спасаться бегством в лес. ";"72807:769:15"
" ыботч ,огот отсемв и ,мыннавозиларап яслазак";"ясьтасапс";"казался парализованным, и вместо того, чтобы ";"спасаться";" ";"бегством, он пищал и в испуге";"В. К. Арсеньев. В горах Сихотэ-Алиня (1937)";"В. К. Арсеньев";"1872";"В горах Сихотэ-Алиня";"1937";"художественная";"очерк | цикл";"";"В. К. Арсеньев. В горах Сихотэ-Алиня";"1955";"книга";"омонимия не снята";"7799";"100345";"подростковый";"н-уровень";"большая";"Котенок казался парализованным, и вместо того, чтобы спасаться бегством, он пищал и в испуге делал прыжки, а змея, не спуская с него глаз, раскачивалась вправо и влево, постепенно приближаясь к своей жертве. ";"72587:659:7"
" алишер ,акарб огокат то есажу в";"ясьтасапс";"в ужасе от такого брака, решила ";"спасаться";" ";"бегством. ";"Н. П. Колпакова. Терский берег (1936)";"Н. П. Колпакова";"1902";"Терский берег";"1936";"публицистика | нехудожественная";"очерк";"путешествия";"Колпакова Н. П. Терский берег";"1937";"книга";"омонимия не снята";"4284";"50594";"н-возраст";"н-уровень";"средняя";"Девушка, в ужасе от такого брака, решила спасаться бегством. ";"76355:1060:7"
" ьсолширп уме умомас и ачалап йокур";"ясьтасапс";"рукой палача и самому ему пришлось ";"спасаться";" ";"бегством. ";"Василий Иванов. Тайны масонства (1934)";"Василий Иванов";"";"Тайны масонства";"1934";"публицистика | нехудожественная";"монография";"политика и общественная жизнь";"В. Ф. Иванов «История российского масонства от Петра I до наших дней»";"1938";"книга";"омонимия не снята";"829";"15362";"н-возраст";"н-уровень";"средняя";"Одно из его сочинений «Христианство без тайн», произведение еретического характера, было уничтожено рукой палача и самому ему пришлось спасаться бегством. ";"76142:574:18"
" ,ещбоов ,И";"ясьтасапс";"И, вообще, ";"спасаться";" ";"бегством, это не по моей части";"Н. Ф. Новиков. Дневник (1934)";"Н. Ф. Новиков";"1903";"Дневник";"1934";"бытовая | нехудожественная";"дневник, записные книжки";"частная жизнь | политика и общественная жизнь";"";"";"электронное издание";"омонимия не снята";"1063";"11640";"н-возраст";"н-уровень";"личная";"И, вообще, спасаться бегством, это не по моей части, ― добавил я не без язвительности. ";"74555:800:2"
" оннелдемен тедуб онжун мяерве от ,еинежярпан";"ясьтасапс";"напряжение, то евреям нужно будет немедленно ";"спасаться";" ";"бегством или приготовиться к настоящим мукам. ";"А. С. Макаренко. Педагогическая поэма. Часть 1 (1933)";"А. С. Макаренко";"1888";"Педагогическая поэма. Часть 1";"1933";"художественная";"поэма";"";"Макаренко А. С. Педагогическая поэма";"1976";"книга";"омонимия не снята";"6140";"64087";"н-возраст";"н-уровень";"очень большая";"Я тоже был уверен, что если сейчас не разрешу до конца все напряжение, то евреям нужно будет немедленно спасаться бегством или приготовиться к настоящим мукам. ";"77025:2668:18"
" лыб нежлод ,яманз отэ йишваврозар ,рецифО";"ясьтасапс";"Офицер, разорвавший это знамя, должен был ";"спасаться";" ";"бегством. ";"А. И. Деникин. Очерки русской смуты. Том I. Крушение власти и армии (1921)";"А. И. Деникин";"1872";"Очерки русской смуты. Том I. Крушение власти и армии";"1921";"публицистика | нехудожественная";"очерк | цикл";"армия и вооруженные конфликты";"А. И. Деникин. Очерки русской смуты";"1921";"книга";"омонимия не снята";"7082";"119942";"н-возраст";"н-уровень";"большая";"Офицер, разорвавший это знамя, должен был спасаться бегством. ";"73900:3329:6"
" илыб ынеджуныв ыцмеН мечирп ,йечаду йонлоп";"ясьтасапс";"полной удачей, причем Немцы вынуждены были ";"спасаться";" ";"бегством, потеряв несколько человек убитыми и";"Боевые эпизоды (06.01.1916) // газета «Новое время», 1916";"неизвестный";"";"Боевые эпизоды";"06.01.1916";"публицистика | нехудожественная";"информационное сообщение";"армия и вооруженные конфликты";"газета «Новое время»";"1916";"газета";"омонимия не снята";"9";"87";"н-возраст";"н-уровень";"большая";"Произошла горячая схватка, во время которой противник оказал отчаянное сопротивление, но нападение наших молодцов окончилось полной удачей, причем Немцы вынуждены были спасаться бегством, потеряв несколько человек убитыми и пленными. ";"120391:4:21"
" ― ,увокорамуС монориБ еонналедс ,еинежолдерп алирбодо аннА";"ясьтасапс";"Анна одобрила предложение, сделанное Бироном Сумарокову, ― ";"спасаться";" ";"бегством. ";"Ф. Е. Зарин-Несвицкий. Борьба у престола (1913)";"Ф. Е. Зарин-Несвицкий";"1870";"Борьба у престола";"1913";"художественная";"роман";"";"Зарин-Несвицкий Ф. Е. Борьба у престола: Исторический роман";"2001";"книга";"омонимия не снята";"8448";"86302";"н-возраст";"н-уровень";"большая";"Анна одобрила предложение, сделанное Бироном Сумарокову, ― спасаться бегством. ";"129153:2449:6"
" кешувед оливатсаз и отЭ";"ясьтасапс";"Это и заставило девушек ";"спасаться";" ";"бегством и обратиться к защите полиции. ";"В России. Белые невольницы (03.10.1912) // «Русское слово», 1912";"неизвестный";"";"В России. Белые невольницы";"03.10.1912";"публицистика | нехудожественная";"заметка";"сельское хозяйство | администрация и управление | криминал";"«Русское слово»";"1912";"газета";"омонимия не снята";"16";"128";"н-возраст";"н-уровень";"большая";"Это и заставило девушек спасаться бегством и обратиться к защите полиции. ";"106794:15:4"
" илыб ынжлод ,исере в еынненивбо ,цевалситсМ";"ясьтасапс";"Мстиславец, обвиненные в ереси, должны были ";"спасаться";" ";"бегством; обвинителями были преимущественно переписчики, очень";"Д. И. Иловайский. Краткие очерки русской истории (1860-1911)";"Д. И. Иловайский";"1832";"Краткие очерки русской истории";"1860-1911";"учебно-научная | нехудожественная";"монография";"история";"Иловайский Д. И. Краткие очерки русской истории, приспособленные к курсу средних учебных заведений";"1860";"книга";"омонимия не снята";"5938";"114784";"н-возраст";"н-уровень";"большая";"В 1565 году Феодоров и Мстиславец, обвиненные в ереси, должны были спасаться бегством; обвинителями были преимущественно переписчики, очень недовольные подрывом их промысла. ";"64534:2662:11"
" лыб неджунирп йикциньлемХ";"ясьтасапс";"Хмельницкий принужден был ";"спасаться";" ";"бегством. ";"Д. И. Иловайский. Краткие очерки русской истории (1860-1911)";"Д. И. Иловайский";"1832";"Краткие очерки русской истории";"1860-1911";"учебно-научная | нехудожественная";"монография";"история";"Иловайский Д. И. Краткие очерки русской истории, приспособленные к курсу средних учебных заведений";"1860";"книга";"омонимия не снята";"5938";"114784";"н-возраст";"н-уровень";"большая";"Хмельницкий принужден был спасаться бегством. ";"64534:2698:3"
" ьсолширп ьлуп модарг доп матсироррет окандО";"ясьтасапс";"Однако террористам под градом пуль пришлось ";"спасаться";" ";"бегством, что спасло пленника. ";"Вести (11.05.1911) // «Новое время», 1911";"неизвестный";"";"Вести";"11.05.1911";"публицистика | нехудожественная";"информационное сообщение";"природа | искусство и культура | армия и вооруженные конфликты | политика и общественная жизнь | администрация и управление | криминал";"«Новое время»";"1911";"газета";"омонимия не снята";"14";"135";"н-возраст";"н-уровень";"большая";"Однако террористам под градом пуль пришлось спасаться бегством, что спасло пленника. ";"104724:6:6"
" илыб ынжлод ыдом йовон ыцинноротс едг";"ясьтасапс";"где сторонницы новой моды должны были ";"спасаться";" ";"бегством. ";"Дневные известия (по телефону от наш. петербургск. корресп.) (20.02.1911) // «Руль», 1911";"неизвестный";"";"Дневные известия (по телефону от наш. петербургск. корресп.)";"20.02.1911";"публицистика | нехудожественная";"информационное сообщение";"здоровье и медицина | администрация и управление | частная жизнь | криминал";"«Руль»";"1911";"газета";"омонимия не снята";"18";"177";"н-возраст";"н-уровень";"большая";"Такие же сцены произошли в Мадриде и Лондоне, где сторонницы новой моды должны были спасаться бегством. ";"103198:16:14"
" ястидохирп асел зИ";"ясьтасапс";"Из леса приходится ";"спасаться";" ";"бегством. ";"Вести (18.06.1910) // «Утро России», 1910";"неизвестный";"";"Вести";"18.06.1910";"публицистика | нехудожественная";"информационное сообщение";"политика и общественная жизнь | природа | сельское хозяйство | искусство и культура";"«Утро России»";"1910";"газета";"омонимия не снята";"14";"154";"н-возраст";"н-уровень";"большая";"Из леса приходится спасаться бегством. ";"99652:5:3"
" умоннеджуныв ,юзянк умокснымур умоньлетедалв умондо лажелданирп";"ясьтасапс";"принадлежал одному владетельному румынскому князю, вынужденному ";"спасаться";" ";"бегством. ";"Афера с 38-миллионным кладом (02.07.1909) // «Петербургский листок», 1909";"неизвестный";"";"Афера с 38-миллионным кладом";"02.07.1909";"публицистика | нехудожественная";"информационное сообщение";"криминал";"«Петербургский листок»";"1909";"газета";"омонимия не снята";"44";"670";"взрослый";"н-уровень";"большая";"Клад этот принадлежал одному владетельному румынскому князю, вынужденному спасаться бегством. ";"96071:20:8"
" уме теутевос и иинежароп мовон о";"ясьтасапс";"о новом поражении и советует ему ";"спасаться";" ";"бегством. ";"Д. Марголин. Спутник меломана. Собрание оперных либретто (1908)";"Д. Марголин";"";"Спутник меломана. Собрание оперных либретто";"1908";"публицистика | нехудожественная";"либретто";"искусство и культура";"Спутник меломана. Собрание оперных либретто";"1908";"книга";"омонимия не снята";"18012";"185009";"н-возраст";"н-уровень";"большая";"В это время два воина вводят раненого рыцаря Лоре, который извещает короля о новом поражении и советует ему спасаться бегством. ";"73036:6332:18"
" еннаоИ теагалдерп ,ксйов хиксьлетяирпен еинежилбирп вашылсаз";"ясьтасапс";"заслышав приближение неприятельских войск, предлагает Иоанне ";"спасаться";" ";"бегством. ";"Д. Марголин. Спутник меломана. Собрание оперных либретто (1908)";"Д. Марголин";"";"Спутник меломана. Собрание оперных либретто";"1908";"публицистика | нехудожественная";"либретто";"искусство и культура";"Спутник меломана. Собрание оперных либретто";"1908";"книга";"омонимия не снята";"18012";"185009";"н-возраст";"н-уровень";"большая";"Лионель, заслышав приближение неприятельских войск, предлагает Иоанне спасаться бегством. ";"73036:6450:7"
" илыб ынжлод ,яинеми иовс в ясьтунрев";"ясьтасапс";"вернуться в свои имения, должны были ";"спасаться";" ";"бегством; иные же богатые и знатные";"В. В. Сиповский. Родная старина. Отечественная история в рассказах и картинах (С XVI до XVII ст.) (1904)";"В. В. Сиповский";"1872";"Родная старина. Отечественная история в рассказах и картинах (С XVI до XVII ст.)";"1904";"учебно-научная | нехудожественная";"монография";"наука и технологии | история";"Родная старина: Отечественная история в рассказах и картинах. (С XVI до XVII ст.)/ Сост. В. Д. Сиповский";"1993";"книга";"омонимия не снята";"9693";"179027";"подростковый";"н-уровень";"большая";"Большая часть панов, вздумавших было вернуться в свои имения, должны были спасаться бегством; иные же богатые и знатные, вообразив, что они могут по-прежнему забрать в руки крестьян и даже совершить расправу над непокорными, возвращались с вооруженными отрядами в свои поместья и начинали творить суд и расправу… ";"128142:6145:11"
" и утобар ьтисорб оншепс вецнопя иливатсаз";"ясьтасапс";"заставили японцев спешно бросить работу и ";"спасаться";" ";"бегством. ";"Вести (29.11.1904) // «Русское слово», 1904";"неизвестный";"";"Вести";"29.11.1904";"публицистика | нехудожественная";"информационное сообщение";"политика и общественная жизнь | армия и вооруженные конфликты | частная жизнь | криминал | путешествия";"«Русское слово»";"1904";"газета";"омонимия не снята";"28";"185";"н-возраст";"н-уровень";"большая";"11 выстрелов мортирной батареи заставили японцев спешно бросить работу и спасаться бегством. ";"87444:15:10"
" ыботч ,огот отсемв оН";"ясьтасапс";"Но вместо того, чтобы ";"спасаться";" ";"бегством, пока еще было возможно, передние";"Катастрофа в метрополитене (17.08.1903) // «Новое время», 1903";"неизвестный";"";"Катастрофа в метрополитене";"17.08.1903";"публицистика | нехудожественная";"заметка";"администрация и управление | транспорт | частная жизнь";"«Новое время»";"1903";"газета";"омонимия не снята";"21";"242";"н-возраст";"н-уровень";"большая";"Но вместо того, чтобы спасаться бегством, пока еще было возможно, передние ряды окружают злосчастного и начинают его бить. ";"85806:14:4"
" и йач ьтасорб олыб одан ,йинавонеманздерп";"ясьтасапс";"предзнаменований, надо было бросать чай и ";"спасаться";" ";"бегством. ";"Н. А. Вербицкий-Антиохов. У костра (1900)";"Н. А. Вербицкий-Антиохов";"1843";"У костра";"1900";"художественная";"рассказ";"";"Русский охотничий рассказ";"1991";"книга";"омонимия не снята";"696";"9837";"н-возраст";"н-уровень";"большая";"А с запада ползла туча, сизая, суровая, полная самых зловещих предзнаменований, надо было бросать чай и спасаться бегством. ";"128733:73:16"
"";"ясьтасапС";"";"Спасаться";" ";"бегством теперь было поздно. ";"Ф. М. Степняк-Личкус [перевод книги С. М. Степняка-Кравчинского с английского]. Андрей Кожухов (1898)";"Ф. М. Степняк-Личкус [перевод книги С. М. Степняка-Кравчинского с английского]";"1853";"Андрей Кожухов";"1898";"художественная";"роман";"";"С. М. Степняк-Кравчинский. Андрей Кожухов";"1982";"книга";"омонимия не снята";"7348";"90804";"н-возраст";"н-уровень";"очень большая";"Спасаться бегством теперь было поздно. ";"68743:4532:0"
" ьсолидохирп уме отсач ьнечО";"ясьтасапс";"Очень часто ему приходилось ";"спасаться";" ";"бегством от их поцелуев, под градом";"М. В. Барро. Эмиль Золя. Его жизнь и литературная деятельность (1895)";"М. В. Барро";"";"Эмиль Золя. Его жизнь и литературная деятельность";"1895";"публицистика | нехудожественная";"биография";"искусство и культура | частная жизнь";"Эмиль Золя, его жизнь и литературная деятельность";"1895";"книга";"омонимия не снята";"1306";"22196";"н-возраст";"н-уровень";"большая";"Очень часто ему приходилось спасаться бегством от их поцелуев, под градом насмешек односельчан. ";"62894:910:4"
" хяачулс хитэ в тюатичопдерп еыротокен ― ,меиворкондалх";"ясьтасапс";"хладнокровием, ― некоторые предпочитают в этих случаях ";"спасаться";" ";"бегством, другие ― пускают себе в лоб";"А. И. Куприн. Впотьмах (1892)";"А. И. Куприн";"1870";"Впотьмах";"1892";"художественная";"повесть";"";"А. И. Куприн. Собр. соч.: В 9 т. Том 1";"1970";"книга";"омонимия не снята";"1580";"21512";"н-возраст";"н-уровень";"большая";"Разные бывают способы, ― ответил он, щеголяя напускным хладнокровием, ― некоторые предпочитают в этих случаях спасаться бегством, другие ― пускают себе в лоб пулю… ";"76806:664:13"
" хяачулс хитэ в тюатичопдерп еыротокеН«  :аниралА";"ясьтасапс";"Аларина:  «Некоторые предпочитают в этих случаях ";"спасаться";" ";"бегством, другие пускают себе в лоб";"А. И. Куприн. Впотьмах (1892)";"А. И. Куприн";"1870";"Впотьмах";"1892";"художественная";"повесть";"";"А. И. Куприн. Собр. соч.: В 9 т. Том 1";"1970";"книга";"омонимия не снята";"1580";"21512";"н-возраст";"н-уровень";"большая";"И вдруг, точно отвечая на ее вопрос, в уме пронеслась вчерашняя самоуверенная фраза Аларина:  «Некоторые предпочитают в этих случаях спасаться бегством, другие пускают себе в лоб пулю». ";"76806:1149:19"
"";"ясьтасапС";"";"Спасаться";" ";"бегством? ― мелькнуло у нее. ";"А. И. Куприн. Впотьмах (1892)";"А. И. Куприн";"1870";"Впотьмах";"1892";"художественная";"повесть";"";"А. И. Куприн. Собр. соч.: В 9 т. Том 1";"1970";"книга";"омонимия не снята";"1580";"21512";"н-возраст";"н-уровень";"большая";"Спасаться бегством? ― мелькнуло у нее. ";"76806:1150:0"
" йерокс онжом как ьсюаратс адгесв я";"ясьтасапс";"я всегда стараюсь как можно скорей ";"спасаться";" ";"бегством. ";"Е. А. Салиас. Аракчеевский подкидыш (1889)";"Е. А. Салиас";"1842";"Аракчеевский подкидыш";"1889";"художественная";"роман";"";"Салиас Е. А. Аракчеевский сынок. Аракчеевский подкидыш";"1993";"книга";"омонимия не снята";"8283";"76240";"н-возраст";"н-уровень";"большая";"И в этих случаях я всегда стараюсь как можно скорей спасаться бегством. ";"68110:3739:10"
" ынжлод сачтот ,укызум или екдохс йоксжум";"ясьтасапс";"мужской сходке или музыку, тотчас должны ";"спасаться";" ";"бегством. ";"В. Майнов. Русский ученый в Новой Гвинее // «Исторический вестник», 1880";"В. Майнов";"";"Русский ученый в Новой Гвинее";"1880";"публицистика | нехудожественная";"заметка";"путешествия";"«Исторический вестник»";"1880";"журнал";"омонимия не снята";"155";"5814";"н-возраст";"н-уровень";"средняя";"Обычай запрета или «табу», существующий в Полинезии, замечен был Миклухою и в Новой Гвинеи, но для него не существует особого слова в туземном языки, хотя на каждом шагу приходится натыкаться на такие обычаи, которые прямо доказывают существование запрета, в особенности в отношениях женщин к мужчинам; им запрещено например вступать под кровлю «дома совета»; они изгнаны со всех пиров, и все блюда, изготовляемая ими же для этих пиров и в особенности главный напиток ― «кеу», представляют собою запретный плод для женщин и детей; с другой стороны, мужские сходки, музыка и музыкальные инструменты, даже слушание их издали, составляет для них запретное «табу» и едва заслышать он о мужской сходке или музыку, тотчас должны спасаться бегством. ";"69359:102:110"
" нежлод и юиссоР теадикоп но отч";"ясьтасапс";"что он покидает Россию и должен ";"спасаться";" ";"бегством и т. д. и т";"П. И. Чайковский. Письма Н. Ф. фон-Мекк (1878)";"П. И. Чайковский";"1840";"Письма Н. Ф. фон-Мекк";"1878";"бытовая | нехудожественная";"письмо личное";"частная жизнь";"П. И. Чайковский. Полное собрание сочинений";"1962";"книга";"омонимия не снята";"7326";"101055";"н-возраст";"н-уровень";"личная";"Neue Freie Presse» старается доказать своим читателям, что дело девицы, стрелявшей в Трепова, причинило целую революцию, что государь в опасности, что он покидает Россию и должен спасаться бегством и т. д. и т. д. ";"63049:2640:26"
" лыб неджунирп йыроток ,акирелеТ язянк ремирп";"ясьтасапс";"пример князя Телерика, который принужден был ";"спасаться";" ";"бегством из Болгарии; он удалился ко";"Д. И. Иловайский. Начало Руси (1876)";"Д. И. Иловайский";"1832";"Начало Руси";"1876";"учебно-научная | нехудожественная";"монография";"история";"Иловайский Д. И. Начало Руси";"1876";"книга";"омонимия не снята";"8962";"178959";"н-возраст";"н-уровень";"большая";"По крайней мере мы имеем из второй половины VIII века пример князя Телерика, который принужден был спасаться бегством из Болгарии; он удалился ко двору императора Льва IV, был им окрещен, женился на его родственнице и получил сан патриция (Theophan. 698). ";"64535:3523:16"
" илыб ынеджунирп еыроток ,вокичдибо ан ьсилапысоп";"ясьтасапс";"посыпались на обидчиков, которые принуждены были ";"спасаться";" ";"бегством во дворец, толпа кинулась за";"С. М. Соловьев. История России с древнейших времен. Том десятый (1860)";"С. М. Соловьев";"1820";"История России с древнейших времен. Том десятый";"1860";"учебно-научная | нехудожественная";"монография";"наука и технологии | история";"С. М. Соловьев История России с древнейших времен: в 15 кн. Кн. 5";"1961";"книга";"омонимия не снята";"4184";"125050";"н-возраст";"н-уровень";"очень большая";"Народ рассвирепел, камни посыпались на обидчиков, которые принуждены были спасаться бегством во дворец, толпа кинулась за ними, и тут, чтоб остановить ее, повели на казнь Плещеева!  ";"68627:1514:9"
" лыб нежлод ьлетиварп ;увеещелП отч ,еж";"ясьтасапс";"же, что Плещееву; правитель должен был ";"спасаться";" ";"бегством во дворец, дом его разграбили";"С. М. Соловьев. История России с древнейших времен. Том десятый (1860)";"С. М. Соловьев";"1820";"История России с древнейших времен. Том десятый";"1860";"учебно-научная | нехудожественная";"монография";"наука и технологии | история";"С. М. Соловьев История России с древнейших времен: в 15 кн. Кн. 5";"1961";"книга";"омонимия не снята";"4184";"125050";"н-возраст";"н-уровень";"очень большая";"Морозов вышел было на крыльцо с увещеваниями от имени царского, но в ответ на его увещание послышался крик, что и ему будет то же, что Плещееву; правитель должен был спасаться бегством во дворец, дом его разграбили, убили холопа, который хотел защищать господское добро; жене Морозова сказали, что если бы она не была царская свояченица, то изрубили бы ее в куски; сорвали с нее дорогие украшения и бросили на улицу; потом убили думного дьяка Чистого, хотели было сделать то же и с богатым гостем Шориным, обвиняя его в возвышении цены на соль, но он успел выехать из города; дом его разграбили, вместе с домом князя Никиты Одоевского, князя Алексея Михайловича Львова и других вельмож. ";"68627:1516:29"
" лыб неджунирп ьнераП";"ясьтасапс";"Парень принужден был ";"спасаться";" ";"бегством, и как к берегу было";"Н. А. Некрасов. Тонкий человек, его приключения и наблюдения (1853-1855)";"Н. А. Некрасов";"1821";"Тонкий человек, его приключения и наблюдения";"1853-1855";"художественная";"роман";"";"Н. А. Некрасов. Полн. собр. соч. и писем: В 15 тт. Т. 8. Художественная проза. Незаконченные романы и повести 1841-1856 гг.";"1984";"книга";"омонимия не снята";"2746";"34466";"н-возраст";"н-уровень";"большая";"Парень принужден был спасаться бегством, и как к берегу было мельче, то лошадь его в несколько прыжков очутилась на суше. ";"129728:1445:3"
