"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" одан а ,укеволеч ьтаватссов язьлен ярхив";"ясьтасапс";"вихря нельзя восставать человеку, а надо ";"спасаться";" ";"бегством, только бегством. ";"В. Г. Галактионова. Спящие от печали (2010)";"В. Г. Галактионова";"1948";"Спящие от печали";"2010";"художественная";"роман";"";"В. Г. Галактионова. Спящие от печали";"2011";"книга";"омонимия не снята";"7809";"67906";"н-возраст";"н-уровень";"большая";"Если был бы сын трезвым, то вспомнил бы: против огня, воды и вихря нельзя восставать человеку, а надо спасаться бегством, только бегством. ";"22704:1186:18"
" одан а ,укеволеч ьтаватссов язьлен ыболз";"ясьтасапс";"злобы нельзя восставать человеку, а надо ";"спасаться";" ";"бегством, только бегством. ";"В. Г. Галактионова. Спящие от печали (2010)";"В. Г. Галактионова";"1948";"Спящие от печали";"2010";"художественная";"роман";"";"В. Г. Галактионова. Спящие от печали";"2011";"книга";"омонимия не снята";"7809";"67906";"н-возраст";"н-уровень";"большая";"Да, против огня, воды, вихря и женской злобы нельзя восставать человеку, а надо спасаться бегством, только бегством. ";"22704:1197:13"
" одан а ,укеволеч ьтаватссов язьлен ярхив";"ясьтасапс";"вихря нельзя восставать человеку, а надо ";"спасаться";" ";"бегством, ― если, конечно, он думает жить. ";"В. Г. Галактионова. Спящие от печали (2010)";"В. Г. Галактионова";"1948";"Спящие от печали";"2010";"художественная";"роман";"";"В. Г. Галактионова. Спящие от печали";"2011";"книга";"омонимия не снята";"7809";"67906";"н-возраст";"н-уровень";"большая";"И он не вспомнил тогда, как и прочие, что против огня, воды и вихря нельзя восставать человеку, а надо спасаться бегством, ― если, конечно, он думает жить. ";"22704:1205:19"
" ьсолширп ьтяпо И";"ясьтасапс";"И опять пришлось ";"спасаться";" ";"бегством и скрываться. ";"Юрий Безелянский. Герой. Бунтарь. Анархист // «Наука и жизнь», 2009";"Юрий Безелянский";"";"Герой. Бунтарь. Анархист";"2009";"публицистика | нехудожественная";"статья";"политика и общественная жизнь | история";"«Наука и жизнь»";"2009";"журнал";"омонимия не снята";"324";"4693";"н-возраст";"н-уровень";"большая";"И опять пришлось спасаться бегством и скрываться. ";"38015:296:3"
" хынтовиж йищюялватсаз ,ткнитсни ьтелодоерП";"ясьтасапс";"Преодолеть инстинкт, заставляющий животных ";"спасаться";" ";"бегством от истинной или мнимой опасности";"Елена Володина, Наталья Солдатова. К газелям шёлкового пути // «Наука и жизнь», 2009";"Елена Володина | Наталья Солдатова";"";"К газелям шёлкового пути";"2009";"публицистика | нехудожественная";"статья";"природа";"«Наука и жизнь»";"2009";"журнал";"омонимия не снята";"89";"1471";"н-возраст";"н-уровень";"большая";"Преодолеть инстинкт, заставляющий животных спасаться бегством от истинной или мнимой опасности, невозможно. ";"38176:59:4"
" тюатичопдерп еищажредерп ьтсалв отч ,онтяноП";"ясьтасапс";"Понятно, что власть предержащие предпочитают ";"спасаться";" ";"бегством, а образовавшиеся экологические ниши занимают";"Р. Э. Арбитман. Право силы и сила права // «Волга», 2008";"Р. Э. Арбитман";"1962";"Право силы и сила права";"2008";"публицистика | нехудожественная";"рецензия";"искусство и культура";"«Волга»";"2008";"журнал";"омонимия не снята";"81";"1269";"н-возраст";"н-уровень";"большая";"Понятно, что власть предержащие предпочитают спасаться бегством, а образовавшиеся экологические ниши занимают герои. ";"61499:53:5"
" ьсолширП";"ясьтасапс";"Пришлось ";"спасаться";" ";"бегством. ";"Игорь Найденов. Выше ангелов // «Русский репортер», № 18 (48), 21-28 февраля 2008";"Игорь Найденов";"";"Выше ангелов";"2008";"публицистика | нехудожественная";"репортаж";"строительство и архитектура | частная жизнь | путешествия";"«Русский репортер», № 18 (48), 21-28 февраля 2008";"2008";"журнал";"омонимия не снята";"415";"2990";"н-возраст";"н-уровень";"большая";"Пришлось спасаться бегством. ";"54531:96:1"
" илишер онпазенв есв гурдв енегюР ан";"ясьтасапс";"на Рюгене вдруг все внезапно решили ";"спасаться";" ";"бегством то ли в Испанию, то";"Борис Соколов. Был ли бой на острове Рюген? // «Родина», 2008";"Борис Соколов";"";"Был ли бой на острове Рюген?";"2008";"публицистика | нехудожественная";"статья";"история | армия и вооруженные конфликты";"«Родина»";"2008";"журнал";"омонимия не снята";"32";"688";"н-возраст";"высокий";"большая";"Совершенно невероятно, что немецкие участники боя на Рюгене вдруг все внезапно решили спасаться бегством то ли в Испанию, то ли в Португалию. ";"39255:18:12"
" йедюл йищюялватсаз ,ткеффэ йовелоб теакинзов аверган";"ясьтасапс";"нагрева возникает болевой эффект, заставляющий людей ";"спасаться";" ";"бегством. ";"Курьер «НиР» // «Наука и религия», 2007";"обобщенный";"";"Курьер «НиР»";"2007";"публицистика | нехудожественная";"заметка";"наука и технологии";"«Наука и религия»";"2007";"журнал";"омонимия не снята";"95";"1609";"н-возраст";"н-уровень";"средняя";"В точке воздействия узкого пучка электромагнитных волн миллиметрового диапазона за счет быстрого нагрева возникает болевой эффект, заставляющий людей спасаться бегством. ";"56201:25:18"
" йероксоп тнемом латсан ,ырги зи адохыв";"ясьтасапс";"выхода из игры, настал момент поскорей ";"спасаться";" ";"бегством, как духи, которых* выкуривают из";"Улья Нова. Инка (2004)";"Улья Нова";"1976";"Инка";"2004";"художественная";"роман";"";"Улья Нова. Инка";"2004";"книга";"омонимия не снята";"3965";"78757";"н-возраст";"н-уровень";"большая";"Инка решает, что пришло время припомнить практику выхода из игры, настал момент поскорей спасаться бегством, как духи, которых* выкуривают из жилища перцем. ";"33878:3026:13"
